#CPI,sku,image name,image label,position
CPI,234567,234567.jpg,Front view of Jewish New Year boxed cards,2
CPI,589831,589831_d.jpg,Front view of Jewish New Year boxed cards,1
CPI,589831,589831_g1h.jpg,View of card and envelope,2
CPI,589831,589831_g2.jpg,Inside view of card,2
CPI,589831,589831_g3.jpg,Close-up view of card,2
CPI,721031,721031_d.jpg,Front view of NIQUEA.D Christmas boxed cards,1
CPI,721031,721031_g1h.jpg,View of card and envelope,2
CPI,721031,721031_g2.jpg,Inside view of card,2
CPI,721031,721031_g3.jpg,Close-up view of card,2
CPI,721069,721069_d.jpg,Front view of NIQUEA.D Christmas boxed cards,1
CPI,721069,721069_g1h.jpg,View of card and envelope,2
CPI,721069,721069_g2.jpg,Inside view of card,2
CPI,721069,721069_g3.jpg,Close-up view of card,2
CPI,738671,738671_d.jpg,Front view of NIQUEA.D Christmas boxed cards,1
CPI,738671,738671_g1h.jpg,View of card and envelope,2
CPI,738671,738671_g2.jpg,Inside view of card,2
CPI,738671,738671_g3.jpg,Close-up view of card,2
CPI,738684,738684_d.jpg,Front view of NIQUEA.D holiday boxed cards,1
CPI,738684,738684_g1h.jpg,View of card and envelope,2
CPI,738684,738684_g2.jpg,Inside view of card,2
CPI,738684,738684_g3.jpg,Close-up view of card,2
